ID,true,pred
TRAIN_00010,"공사 중지와 위험성 평가 재검토 및 재수립, 안전교육 시행, 현장 내 안전시설물 재점검 및 보강, 안전 보호 장비 착용 후 작업 시행, 위험성 평가 반영한 작업계획 수립 및 안전교육 실시, 작업방법에 대한 상시 관리감독 및 작업자 맞춤 안전교육 실시.","1. 불안전한 행동 방지 교육 강화
2. 작업 구간 관리 및 암 적치 상태 확인
3. 작업 구간 관리 감독자의 안전상태 확인
4. 안전 교육 강화 및 사고 재발 방지 대책 수립
5. 관리자 상주
6. 장비 탑승 전후 미끄럼 방지 교육 강화
7. 근로자 특별 교육 실시
8. 위험성 평가 강화 및 사고 사례 전파
9. 작업 전 건강상태 확인 및 준비운동 철저
10. 개인보호구 착용 의무화

위의 사례들을 종합해 볼 때, 다음과 같은 대책들이 필요해 보입니다:
- 불안전한 행동 방지 교육 강화 (C-87-2013 사고의 경우)
- 작업 구간 관리 및 암 적치 상태 확인 (C-87-2013 사고의 경우)
"
TRAIN_00011,특별교육 및 특수형태근로종사자교육 실시와 건설사고 발생에 따른 근로자 안전교육 및 현장 안전관리 철저 공문 발송 예정.,"C- 
(라) 굴삭기 사고 방지를 위해 사전 안전 교육과 정기적인 기계 점검을 강화해야 합니다.
(마) 맨홀 작업 시 공기 질을 모니터링하고 안전장치를 갖춘 장비 사용을 권장해야 합니다.

5. 
관로공사 시공 순서에 대해 다음과 같이 제안합니다:
(가) 관로 굴착 후 적절한 안정화 작업을 거쳐야 합니다.
(2) 관 이음부 작업 시 굴착 단면 넓히기는 신중히 검토해야 하며, 안전장치 설치를 고려해야 합니다.
(3) 관로 매설 작업은 토사 안정화와 함께 신속히 진행해야 합니다.
(4) 관로 시공 완료 후 정기적 점검과 유지보수를 철저히 해야 합니다.

안전 규정을 준수하고 계절적"
TRAIN_00012,"현장 작업장 주변 정리정돈 확인, 아차사고 예방을 위한 일일 안전활동 실시, 현장 특별안전교육 실시, 일일 안전활동 강화 및 현장 작업장 주변 정리정돈 강화 등의 조치 계획.","1. 안전교육과 재발 방지 교육을 통한 사고 방지 대책
2. 양수 작업 등 작업구간 출입 전 자재 정리와 안전 통로 확보 
3. 원인 및 사고 사례 분석을 통한 재발 방지 관리 철저
4. 철근가공장 주변 건축자재 미적치 및 작업자 안전교육 
5. 안전교육 및 2차사고방지 교육안내를 포함한 재발 방지 대책
6. 시스템비계 설치 및 해체팀 안전교육 실시 
7. 건축관계자에 대한 안전수칙 정기교육 및 현장 관리 철저

이 사례에서 주목해야 할 점은 사고의 원인이 대부분 현장 정리 미흡과 작업자의 부주의로 인한 불안전 행동이었다는 점입니다. 
따라서 현장 내 청결 유지와 안전 교육의 중요"
TRAIN_00013,작업 진행 방법 재숙지와 실시 안전교육을 통한 재발 방지 대책 마련.,"### 대책
1. 철골 조립 작업 중 안전 교육 강화: 철골 조립 작업의 위험성을 인식시키고 안전 절차 준수에 대한 교육을 철저히 실시해야 합니다.
2. 작업장 청결 유지: 작업장 내부와 주변을 정기적으로 청소하여 미끄러짐 위험을 최소화해야 합니다.
3. 슬라브 위 물 제거: 특히 겨울철에는 슬라브 위에 얼음이 쌓이지 않도록 주의 깊게 관리해야 합니다.
4. 고소작업대 이동 동선 정리: 고소작업대 이동 경로를 명확히 정의하고 정리정돈을 철저히 해야 합니다.
5. TBM 시 공유: 현장 내 모든 작업자들이 안전 정보를 실시간으로 공유할 수 있는 시스템을 도입해야 합니다.
6. 고소작업대"
TRAIN_00014,작업자 불안전한 행동에 대한 특별교육 실시와 사고 사례 전파를 통한 동일 사고 재발 방지.,"1. 작업자 안전교육 실시
2. 사고 및 사례 전파
3. 관리감독자에 의한 안전점검 및 순찰 강화
4. 무리한 시공 금지
5. 건설공사 추락사고 예방점검 실시
6. 작업 전 작업구간 파악과 이동 방향으로 시선 고정
7. 사고 재발 방지를 위한 안전교육 실시
8. 원하청 관리감독자 및 근로자 대상 교육 진행
9. 작업통로 확보를 위한 자재적재 금지
10. 청소 및 자재 정리와 공사 전 안전 교육 실시
11. 작업자 교욕
12. 밀림 방지를 위한 조치
13. 충돌 및 넘어짐 방지를 위한 현장 정리

위의 대책들을 통해 사고의 재발을 예방하고 안전한 건설현장을 조"
TRAIN_00015,"작업환경의 사전점검을 통한 관리감독 강화, 결빙구간 제거 및 출입금지 조치, 근로자 대상 안전교육 실시, 시공자의 안전관리 업무 강화 지시 및 발주자/건설사업관리단 현장안전점검 실시 예정.","1. 사고 발생 후 즉시 현장 안전검사 실시
2. 사고 관련 교육 강화 및 재발 방지 교육 전파
3. 작업장 내 불안전 요소 제거 및 안전벨트 착용 강조
4. 작업 프로세스 재검토 및 개선
5. 안전 규정 준수 강조 및 감독 강화
6. 사고 사례 전파 및 토의
7. 적절한 보호장비 제공 및 착용 유도
8. 작업자 건강 모니터링 실시
9. 고소작업 안전벨트 고리 체결 관리감독 철저
10. 사고 발생 시 신속한 의료 처치 및 보고 절차 마련
11. 현장 내 통상적 사고 위험요소에 대한 사전 점검 실시
12. 안전관리자 및 감독자의 역할 강화
13. 사고 발생 시 근로자"
TRAIN_00016,"작업 전 TBM 실시, 안전 교육 철저, 장비 관련 교육 실시 예정, 현장 안전 점검 및 안전 시설물 점검, 현장 감독자 감독 철저와 작업자 안전 교육 강화.","            
            1. 안전 교육 강화: 모든 작업자에게 현장 안전 규정 및 사고 예방 방법에 대한 교육을 정기적으로 실시해야 합니다.
            2. 작업장 점검 강화: 주기적인 안전 점검을 통해 잠재적 위험 요소를 신속히 발견하고 대응할 수 있도록 해야 합니다.
            3. 작업자 간 신호체계 확립: 명확한 신호체계를 마련하고 모든 작업자가 이를 준수하도록 해야 합니다.
            4. 작업자 개인 보호장구 착용 강제: 안전모, 안전 안경, 장갑 등 필수 개인 보호장구를 착용하도록 규정해야 합니다.
            5. 작업장 통로 확보 및 정비: 작업장 내 통로를 확보하고 정비하여 사고 발생 가능성을 줄여야 합니다.
            6. 현장 내 이동 시 주의"
TRAIN_00017,작업시간 및 휴식시간 준수에 대한 재발 방지 대책과 향후 조치 계획.,"### 대책
1. 작업 전 스트레칭을 철저히 실시해야 합니다.
2. 근로자 이동 중 발생 가능한 위험요인에 대한 사례 전파 및 안전교육을 실시해야 합니다.
3. 안전작업방법, 위험요인 및 사례에 대한 안전교육을 반드시 실시해야 합니다.
4. 사고 재발 방지를 위한 작업자 안전 철저와 안전진단 재실시 및 처분대상에 대한 처분을 해야 합니다.
5. 무리한 작업자세 등 근골격계질환 발생 위험요인에 대한 사례 및 교육을 실시해야 합니다.

### 추가 대책
6. 굴삭기 작업 시 안전거리를 확보하고 안전모를 착용해야 합니다.
7. 맨홀 내부 작업 시 적절한 환기 장치를 사용하고 산소 농도를 확인해야 합니다.
8. 관로공사 시 공사"
TRAIN_00018,작업자 근로자 이동통로에서 이동방법 교육과 안전관리 철저 지시를 통한 재발 방지 대책 마련.,"            a) 작업자 안전교육 재실시.
            b) 동바리 설치계획서에 따른 순서대로의 설치와 작업순서 및 방법의 TBM 전파 및 교육 실시와 안전교육 실시.
            c) 회전체 공구 사용 시 장갑을 벗고 수평 상태를 확인한 후 작업을 실시하며, 보 내부에서 타공 시 짧은 비트를 사용하여 미끄럼 및 말림 위험을 방지하고 안전 교육을 실시하는 조치.
            d) 목재 가공은 지정된 가공장에서만 작업하고 손으로 든 상태로 작업 금지하며, 안전교육 실시.
            e) 근로자 특별 안전보건교육 및 작업방법 및 순서 교육 실시와 사고예방 및 안전관리 철저 요청.

이 사례에서는 다음과 같은 대책을 제안할 수 있습니다:
a) 작업자 안전교육의 주기적 재실"
TRAIN_00019,"양중 작업 시 기준무게(25kg) 이상 운반을 위한 2인 1조 작업 교육, 자재 전도 방지를 위한 버팀대 설치, 작업 전 바닥 상태 확인 및 정리를 통한 평평한 작업 환경 조성.","            
            1. 근로자 안전교육 실시 
            2. TBM 시 수시교육을 통한 지정된 이동통로 사용의 재발 방지 대책
            3. 보 거푸집 하부 서포트 고정상태 확인 후 상부 이동 작업 실시
            4. 안전관리 철저 및 교육 실시를 통한 재발 방지 대책 마련
            5. 해당 작업과 운반 작업에 대한 위험요인 교육 실시
            6. 작업장 주변 정리와 공사장 주변 정리정돈 및 작업자 안전교육 실시

이 사례들을 바탕으로, 안전작업계획서 작성 시 다음과 같은 점을 검토해야 할 것이다:
1. 현장에 대한 전반적인 위험 평가
2. 각 작업 단계별 위험 요인 식별 및 대응 방안 마련
3. 작업자 교육 내용"
TRAIN_00020,인력운반 작업 시 1인당 적정무게 준수 및 중량물의 무게별 작업방법 공유와 2인1조 작업 시 의사소통 미흡으로 발생한 사고사례 전파 교육 실시.,"1. 사고 유형에 따른 대책:
   - 인적 피해: 사고자에게 즉각적인 의료 지원을 제공하고, 근로자들에게 안전 교육을 강화하여 유사 사고 방지.
   - 물적 피해: 사고로 인한 자재 손실을 최소화하기 위해 정기적인 자재 관리 및 정비 체계 마련.
2. 작업 프로세스에 따른 대책:
   - 이동 작업: 작업자 이동 경로의 안전 점검 강화, 이동 시 안전모나 헬멧 착용 의무화.
   - 타설 작업: 작업장 내 정리정돈 및 안전 시설물 설치를 통한 작업 환경 개선.
   - 정리 작업: 개인 보호장비 착용의 철저한 점검과 교육 실시.
3. 사고 발생 시 대응:
   - 사고 신고 시스템 도입: 사고 발생 시 신속"
TRAIN_00021,자재 정리에 대한 강조와 재발 방지 대책.,"1. 취약근로자 관리 강화
2. 근로자 현장 투입 전 건강검진 결과 확인
3. 동종 재해 예방 교육 실시
4. 신규 채용자 사전 체력 검증 실시
5. 안전관리감독 및 현장 내 정리정돈 강화
6. 판넬 운반 시 인력 운반거리 최소화 및 작업 감독 실시
7. 판넬 운반팀의 불안전 행동에 대한 특별 안전보건교육 실시

이 사례에서는 근로자 부주의로 인한 사고가 발생했으므로 사고사례 전파교육과 사고사례에 따른 교육 요청을 통한 재발 방지 대책 마련이 필요합니다. 또한 현장 내 정리정돈을 철저히 하여 작업 환경을 개선하고, 굴착작업 등 위험 작업 시 안전관리감독을 강"
TRAIN_00022,작업자 재교육 실시와 병원 응급조치 이후의 휴식 중 재발 방지 대책 마련.,"            1. 근로자 교육 강화
            2. 안전 시설 정비 및 개선
            3. 작업 발판 사용 지침 마련
            4. 위험성 평가 및 안전 수칙 마련
            5. 작업 투입 전 작업 방법 확인
            6. 안전모 착용 의무화
            7. 사고 보고 체계 강화
            8. 응급 처치 및 보험 처리 시스템 마련
            9. 정기적 안전 점검 실시
            10. 신규 근로자에 대한 철저한 안전 교육
            11. 현장 감독자의 역할 강화
            12. 작업장 청결 유지
            13. 안전 규정 및 지침의 명확한 전달
            14. 공사 현장 내 비상 대피 계획 수립

    '대책': [근로자 교육 강"
TRAIN_00023,"유사사고 재발 예방을 위한 전 근로자 사고 내용 공유 및 안전 교육 실시, 작업 진행 전 주의사항 및 작업환경 확인 철저, 작업 후 자재 및 공구류 정리정돈 철저.","            a) 작업장 내 안전 규정 강화 및 정기 점검 실시
            b) 안전 교육 강화 및 근로자들의 안전 의식 제고
            c) 작업 프로세스 개선 및 작업자 간의 상호간 안전 확인 시스템 도입
            d) 열풍기 사용 시 안전 교육 강조
            e) 타설 작업 시 요딩장화 착용 의무화
            f) 개인 보호장구 착용 강화
            g) 작업 해체물의 안전 상태 점검 및 관리 강화
            h) 작업장 내 비상 대피 계획 수립 및 정기 훈련 실시
            i) 중량물 취급 시 안전 절차 준수 교육 강화
            j) 사고 사례 분석 및 사고 예방 교육 실시
            k) 현장 내 안전 시설물(구조적 안전성 확보 등) 점검 및 유지 보수
"
TRAIN_00024,사다리 작업간 안전교육 실시 및 보호장구 착용 점검과 시공사의 안전교육 강화 및 안전장비 착용 점검 강화를 통해 사고 당시 즉시 발주청으로 보고되지 않은 점과 작업자의 산재처리로 인한 뒤늦은 인지로 csi 사고 조사 등록 진행이 이루어진 사항.,"            
            1. 안전교육 철저 실시
            2. 작업 전후 정리정돈 철저히 하기
            3. TBM(사고 원인 분석 및 보고) 실시
            4. 사고 조사 후 향후 재발 방지 대책 마련
            5. 고령자 작업 시 대체인력 사용과 주의 깊은 작업방법
            6. 안전유의 권고사항 준수
            7. 작업 전 사전 안전교육 실시
            8. 작업자의 부주의 행동 감시
            9. 주요 작업 시 안전교육 강화
            10. 자재 점검 및 안전 검사 실시
            11. 적절한 치료 후 복귀 검토
            12. 산업재해 처리 절차 준수
            13. 안전사고 사례 공유 및 안전교육 지속 실시
            14"
TRAIN_00025,"건설기계 주기적 비파괴 검사 및 연결핀 점검, 근로자 안전벨트 착용 교육 관리와 상하 동시작업 통제의 위험성 평가 반영.","            a) 현장 출입 시 안전교육 강화
            b) 이동통로 확보 및 경고표지판 부착
            c) 작업자 대상 특별 안전 교육 실시
            d) 굴삭기 작업 시 안전모 착용과 상차작업 주의사항 교육
            e) 맨홀 내부 작업 시 적절한 환기 조치 및 안전장비 착용 교육
            f) 작업장 내 통로 확보 및 안전 점검 정기화
            g) 작업장 내 비상 대피 계획 및 훈련 실시
            h) 굴착작업 시 안전 거리 유지 및 안전모 착용 강화
            i) 밀폐공간 작업 시 적절한 환기장치 설치 및 정기적 점검
            j) 작업자 간 상호간호 강조 및 응급처치 교육 실시
            k) 계절적 취약시기"
TRAIN_00026,자재 정리 시 주변 통제를 철저히 하고 재발 방지 교육을 실시하는 방안.,"### 대책 
1. 현장 내 부주의 사고 예방을 위한 안전교육 강화: 사고의 주요 원인 중 하나인 작업자의 부주의를 줄이기 위해 정기적인 안전교육을 실시하고 사고 사례를 전파하는 교육을 실시할 필요가 있습니다.
2. 안전 로프 설치 및 사용 강화: 옹벽 설치 시 안전 로프 설치를 철저히 하고, 안전 로프의 적절한 사용을 교육하여 추락 사고를 예방할 수 있습니다.
3. 안전 고리 착용 및 안전 매트 설치: 작업자들의 안전을 위해 안전 고리 착용과 안전 매트 설치를 요구해야 합니다.
4. 숙련된 작업자 배치: 장비 조작 능력이 있는 숙련된 작업자를 부설 및 다짐 작업 등 위험 작업에 배치하는 것이 중요합니다.
5. 장비 조작 교육 강화: 근로자"
TRAIN_00027,"일일 작업 투입 전 자체 세밀한 안전교육 실시 체계 확립, 위험성 작업 간 보호구 착용 강조 및 주변 안전 확인 절차 재강조, 슬라브 지역 배관 설치 및 고정 작업 간 2명 1개조 상호 안전 체크 절차 준수 강조, 배관 고정 작업 시 타설이 중지된 상태에서 유동 없이 실시, 출퇴근 시 보호구 착용 확인 및 수시 교육 실시.","1. 천공 드릴 작업 시 안전 대책 강화
    - 천공 드릴 작업 시 이격거리 확보
    - 특별 교육 실시
    - 가설 전선 전원 차단 금지 경고 부착
    - 천공 드릴 낙하 방지대 설치
2. 고소작업대 작업 안전 대책
    - 고소작업대 작업 전 지반 정비
    - 고소작업대 운전원 특별 교육 실시
3. 이동식 작업대차 안전 대책
    - 지반침하 및 교각하단 변위 등 측정 관리 강화
    - 작업대차 사용 시 정기적 점검 및 유지보수 강조
4. 관로공사 안전 대책
    - 관로 굴착 후 적절한 토압 조절 및 안정화 작업
    - 관로 매설 시 토사 안정화 및 지"
TRAIN_00028,호스 및 장비 고장 시 작업방법 및 절차 수립과 TBM 및 정기교육 시 적절한 개인보호구 착용 및 관련 사고사례 교육.,"            
            1. 재발방지 교육을 통한 동일 및 유사 안전사고 예방.
            2. 작업전 스트레칭 및 위험예지훈련의 생활화.
            3. 볼팅작업 작업방법 개선과 재발방지 교육.
            4. 사고사례 교육 및 2인 1조 작업에 관한 관리감독 실시.
            5. 굴삭기, 로더, 지게차 등 건설기계 사용 시 안전조치 준수 (감김․끼임, 낙하․비래 위험 방지).
            6. 밀폐공간 내 작업 시 적절한 환기 및 안전조치 준수.
            7. 비계 설치 및 유지보수 철저히 실시.
            8. 작업장 내 안전 경로 마련 및 점검.
            9. 안전모, 안전화,"
TRAIN_00029,작업자 안전교육 및 재발 방지 대책 수립과 작업 전 안전교육 철저 및 관리자 추가 배치를 통한 동종 사고 예방.,"### 대책
1. 현장 내 작업자들에게 수공구의 올바른 사용법과 안전에 대한 교육을 실시해야 합니다.
2. 작업장 내 물체와의 거리를 확보하기 위해 담장 등의 물적 가시설을 추가해야 합니다.
3. 비계 사다리 사용 시 이슬 방지를 위한 조치가 필요합니다. 경사 사다리로 교체하거나 사다리 표면에 미끄럼 방지 장치를 부착하는 것이 좋습니다.
4. 작업장 내 공기 질 개선을 위해 적절한 환기 시설을 마련해야 합니다.
5. 작업장 내 안전작업계획서를 작성할 때는 사고 예방을 위한 상세한 절차를 포함시켜야 합니다.
6. 현수교 주탑 시공 시 작업 기지 내 안전 시설을 철저히 마련해야 합니다.
7. 작업자들의 안전 교육을"
TRAIN_00030,"현장 안전조치 이행, 미끄러짐 주의 경고표지 부착, 사고사례 전파 교육 및 행정안내를 통한 재발 방지 대책 마련.","1. 작업 환경 정리 및 정돈 실시
2. 작업자 안전 교육 강화
3. 사고 발생 시 신속한 대응 시스템 마련
4. 작업장 내 안전 시설 개선
5. 작업자 투입 전 사전 안전 교육 실시
6. 주변 환경 정리 및 안전 관리 강화
7. 작업장 내 비상 대피 경로 명확히 표기
8. 작업장 내 CCTV 설치를 통한 모니터링 강화
9. 작업자들의 근무시간 관리 및 피로도 평가
10. 작업장 내 안전 규정 및 절차의 명확한 교육 및 시설화

위의 사례에서 주어진 상황에 맞는 대책은 다음과 같습니다:
1. 작업환경 수시 정리 실시
2. 작업자 안전교육 강화
3. 사고 발생 시 신속한 대응 시스템 마련
4. 작업장 내 안전"
TRAIN_00031,"일일 T.B.M. 실시, 작업 방법 재주지, 해당 내용 위험성 평가 회의 진행 및 전파, 작업장 주변 청소 및 정리 정돈, 현장 지정 병원으로 검사 및 조치 후 요양 계획.","1. 작업자 교육 강화
- 사고 원인 중 일부는 작업자의 부주의로 인한 것으로 보입니다. 
- 정기적인 안전 교육을 통해 작업자들의 안전 의식을 높이고, 위험 요인 인식 및 대응 능력을 향상시킬 필요가 있습니다.

2. 작업 환경 개선
- 야외 작업 시 직원들이 직사광선과 열에 노출되는 것을 줄이기 위해 그늘막 설치를 권장합니다.
- 작업장 내 통풍 시스템을 개선하여 실내 온도와 습도를 적절히 조절할 수 있도록 해야 합니다.

3. 안전 장비 보급 및 사용 강화
- 개인 보호 장비(PPE)의 적절한 착용을 강조하고, 특히 안전모, 안전 안경, 안전 장갑 등을 필수로 지정해야 합니다.
- 작업장 내 공기질 모니터링 장비를 설치하여 작업자들의 건강"
TRAIN_00032,사고 재발 방지를 위한 안전 관리 철저와 대책 수립.,"1. 작업자 안전교육 강화
2. 현장감독 강화
3. 사고 발생 시 신속한 대응 및 보고 체계 마련
4. 안전장비의 적절성 및 착용 유도
5. 작업장 내 청결 유지 및 정비
6. 사고 사례 연구 및 교육적 활용
7. 안전 점검 및 검사 강화
8. 공사장 내 통신 시스템 구축
9. 작업자 휴식 시간 확보
10. 사고 재발 방지 대책 수립 및 정기적 검토

위의 사고 사례들을 종합적으로 고려할 때, 다음과 같은 대책들이 필요해 보입니다:
- 작업자 안전교육 강화 (KOSHA Guide C-81에 따른)
- 현장감독 강화 (KOSHA Guide C-81의 작업기지 시공 절차 안전 준수사항에 따른)
-"
